ts_ist,index,action,side,strike,index_px,premium,lots,qty,pnl,reason,bar_ts
2026-08-04 09:15,NIFTY,OPEN,PE,24600,24599.8,31.17,1,65,,flip,1785815100
2026-08-04 11:30,SENSEX,OPEN,PE,78600,78629.5,65.77,1,20,,flip,1785823200
2026-08-04 15:20,NIFTY,CLOSE,PE,24600,24463.5,136.50,1,65,6786,eod,1785837000
2026-08-04 15:20,SENSEX,CLOSE,PE,78600,78324.6,275.29,1,20,4135,eod,1785837000
2026-08-05 09:15,SENSEX,OPEN,CE,78900,78875.7,513.61,1,20,,flip,1785901500
2026-08-05 12:15,SENSEX,CLOSE,CE,78900,78564.4,384.17,1,20,-2651,reverse,1785912300
2026-08-05 12:15,SENSEX,OPEN,PE,78600,78564.4,473.30,1,20,,flip,1785912300
2026-08-05 12:30,NIFTY,OPEN,PE,24550,24544.0,147.33,1,65,,flip,1785913200
2026-08-05 12:30,BANKNIFTY,OPEN,PE,57600,57602.3,736.11,1,30,,flip,1785913200
2026-08-05 15:20,NIFTY,CLOSE,PE,24550,24570.2,129.16,1,65,-1244,eod,1785923400
2026-08-05 15:20,BANKNIFTY,CLOSE,PE,57600,57629.8,696.51,1,30,-1275,eod,1785923400
2026-08-05 15:20,SENSEX,CLOSE,PE,78600,78501.9,490.85,1,20,286,eod,1785923400
2026-08-07 09:15,NIFTY,OPEN,PE,24600,24592.2,125.84,1,65,,flip,1786074300
2026-08-07 09:15,BANKNIFTY,OPEN,PE,57900,57863.6,724.45,1,30,,flip,1786074300
2026-08-07 09:15,SENSEX,OPEN,PE,78600,78645.2,369.04,1,20,,flip,1786074300
2026-08-07 13:45,BANKNIFTY,CLOSE,PE,57900,57901.8,700.54,1,30,-804,reverse,1786090500
2026-08-07 13:45,BANKNIFTY,OPEN,CE,57900,57901.8,888.34,1,30,,flip,1786090500
2026-08-07 15:20,NIFTY,CLOSE,PE,24600,24557.0,138.02,1,65,729,eod,1786096200
2026-08-07 15:20,BANKNIFTY,CLOSE,CE,57900,57801.2,821.92,1,30,-2087,eod,1786096200
2026-08-07 15:20,SENSEX,CLOSE,PE,78600,78491.3,425.98,1,20,1076,eod,1786096200
